Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Clearwater County, Idaho",8673,23412,23412,2.7,Clearwater County,Idaho
"Custer County, Idaho",4169,23805,23805,5.71,Custer County,Idaho
"Elmore County, Idaho",26743,23028,23028,0.86,Elmore County,Idaho
"Franklin County, Idaho",13464,24185,24185,1.8,Franklin County,Idaho
"Fremont County, Idaho",13020,23577,23577,1.81,Fremont County,Idaho
"Gem County, Idaho",17331,22661,22661,1.31,Gem County,Idaho
"Gooding County, Idaho",15148,23607,23607,1.56,Gooding County,Idaho
"Idaho County, Idaho",16411,22672,22672,1.38,Idaho County,Idaho
"Jefferson County, Idaho",28534,24677,24677,0.86,Jefferson County,Idaho
"Jerome County, Idaho",23730,21461,21461,0.9,Jerome County,Idaho
"Kootenai County, Idaho",157322,29948,29948,0.19,Kootenai County,Idaho
"Latah County, Idaho",39505,27011,27011,0.68,Latah County,Idaho
"Lemhi County, Idaho",7847,25075,25075,3.2,Lemhi County,Idaho
"Lewis County, Idaho",3838,24094,24094,6.28,Lewis County,Idaho
"Lincoln County, Idaho",5350,21656,21656,4.05,Lincoln County,Idaho
"Madison County, Idaho",39100,16585,16585,0.42,Madison County,Idaho
"Minidoka County, Idaho",20705,24262,24262,1.17,Minidoka County,Idaho
"Nez Perce County, Idaho",40217,29544,29544,0.73,Nez Perce County,Idaho
"Oneida County, Idaho",4385,22120,22120,5.04,Oneida County,Idaho
"Owyhee County, Idaho",11552,22806,22806,1.97,Owyhee County,Idaho
"Payette County, Idaho",23260,25768,25768,1.11,Payette County,Idaho
"Power County, Idaho",7671,23343,23343,3.04,Power County,Idaho
"Shoshone County, Idaho",12609,23987,23987,1.9,Shoshone County,Idaho
"Teton County, Idaho",11426,31191,31191,2.73,Teton County,Idaho
"Twin Falls County, Idaho",84869,25352,25352,0.3,Twin Falls County,Idaho
"Valley County, Idaho",10709,33709,33709,3.15,Valley County,Idaho
"Washington County, Idaho",10057,22650,22650,2.25,Washington County,Idaho
"Adams County, Illinois",66085,30343,30343,0.46,Adams County,Illinois
"Alexander County, Illinois",6260,19519,19519,3.12,Alexander County,Illinois
"Bond County, Illinois",16589,28119,28119,1.7,Bond County,Illinois
"Boone County, Illinois",53537,31943,31943,0.6,Boone County,Illinois
"Brown County, Illinois",6628,23070,23070,3.48,Brown County,Illinois
"Bureau County, Illinois",33122,30255,30255,0.91,Bureau County,Illinois
"Calhoun County, Illinois",4830,28822,28822,5.97,Calhoun County,Illinois
"Carroll County, Illinois",14466,29166,29166,2.02,Carroll County,Illinois
"Cass County, Illinois",12493,26992,26992,2.16,Cass County,Illinois
"Champaign County, Illinois",209922,30578,30578,0.15,Champaign County,Illinois
"Christian County, Illinois",32931,27361,27361,0.83,Christian County,Illinois
"Clark County, Illinois",15716,30796,30796,1.96,Clark County,Illinois
"Clay County, Illinois",13287,26815,26815,2.02,Clay County,Illinois
"Clinton County, Illinois",37634,31783,31783,0.84,Clinton County,Illinois
"Coles County, Illinois",51353,28084,28084,0.55,Coles County,Illinois
"Cook County, Illinois",5198275,37552,37552,0.01,Cook County,Illinois
"Crawford County, Illinois",18972,26546,26546,1.4,Crawford County,Illinois
"Cumberland County, Illinois",10836,27812,27812,2.57,Cumberland County,Illinois
