Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Butler County, Iowa",14628,30036,30036,2.05,Butler County,Iowa
"Calhoun County, Iowa",9744,28434,28434,2.92,Calhoun County,Iowa
"Carroll County, Iowa",20281,31648,31648,1.56,Carroll County,Iowa
"Cass County, Iowa",13091,28302,28302,2.16,Cass County,Iowa
"Cedar County, Iowa",18457,32268,32268,1.75,Cedar County,Iowa
"Cerro Gordo County, Iowa",42834,32757,32757,0.76,Cerro Gordo County,Iowa
"Cherokee County, Iowa",11343,32999,32999,2.91,Cherokee County,Iowa
"Chickasaw County, Iowa",12026,31095,31095,2.59,Chickasaw County,Iowa
"Clarke County, Iowa",9360,27416,27416,2.93,Clarke County,Iowa
"Clay County, Iowa",16211,28747,28747,1.77,Clay County,Iowa
"Clayton County, Iowa",17625,28294,28294,1.61,Clayton County,Iowa
"Clinton County, Iowa",46909,28483,28483,0.61,Clinton County,Iowa
"Crawford County, Iowa",17034,29196,29196,1.71,Crawford County,Iowa
"Dallas County, Iowa",87099,45090,45090,0.52,Dallas County,Iowa
"Davis County, Iowa",8920,29387,29387,3.29,Davis County,Iowa
"Decatur County, Iowa",7979,22875,22875,2.87,Decatur County,Iowa
"Delaware County, Iowa",17183,32112,32112,1.87,Delaware County,Iowa
"Des Moines County, Iowa",39386,29941,29941,0.76,Des Moines County,Iowa
"Dickinson County, Iowa",17127,39052,39052,2.28,Dickinson County,Iowa
"Dubuque County, Iowa",96982,32905,32905,0.34,Dubuque County,Iowa
"Emmet County, Iowa",9438,28651,28651,3.04,Emmet County,Iowa
"Fayette County, Iowa",19803,28643,28643,1.45,Fayette County,Iowa
"Floyd County, Iowa",15786,29622,29622,1.88,Floyd County,Iowa
"Franklin County, Iowa",10162,29546,29546,2.91,Franklin County,Iowa
"Fremont County, Iowa",6946,29261,29261,4.21,Fremont County,Iowa
"Greene County, Iowa",8950,28451,28451,3.18,Greene County,Iowa
"Grundy County, Iowa",12299,36231,36231,2.95,Grundy County,Iowa
"Guthrie County, Iowa",10669,31128,31128,2.92,Guthrie County,Iowa
"Hamilton County, Iowa",14997,30127,30127,2.01,Hamilton County,Iowa
"Hancock County, Iowa",10802,30309,30309,2.81,Hancock County,Iowa
"Hardin County, Iowa",17061,28770,28770,1.69,Hardin County,Iowa
"Harrison County, Iowa",14089,32443,32443,2.3,Harrison County,Iowa
"Henry County, Iowa",19941,26408,26408,1.32,Henry County,Iowa
"Howard County, Iowa",9226,29032,29032,3.15,Howard County,Iowa
"Humboldt County, Iowa",9554,30480,30480,3.19,Humboldt County,Iowa
"Ida County, Iowa",6901,33789,33789,4.9,Ida County,Iowa
"Iowa County, Iowa",16189,33755,33755,2.09,Iowa County,Iowa
"Jackson County, Iowa",19401,29660,29660,1.53,Jackson County,Iowa
"Jasper County, Iowa",36971,28604,28604,0.77,Jasper County,Iowa
"Jefferson County, Iowa",18148,28611,28611,1.58,Jefferson County,Iowa
"Johnson County, Iowa",148577,35108,35108,0.24,Johnson County,Iowa
"Jones County, Iowa",20559,29453,29453,1.43,Jones County,Iowa
"Keokuk County, Iowa",10188,29957,29957,2.94,Keokuk County,Iowa
"Kossuth County, Iowa",14978,31225,31225,2.08,Kossuth County,Iowa
"Lee County, Iowa",34227,26710,26710,0.78,Lee County,Iowa
"Linn County, Iowa",223861,34545,34545,0.15,Linn County,Iowa
"Louisa County, Iowa",11178,29021,29021,2.6,Louisa County,Iowa
"Lucas County, Iowa",8583,31069,31069,3.62,Lucas County,Iowa
"Lyon County, Iowa",11776,29124,29124,2.47,Lyon County,Iowa
"Madison County, Iowa",16012,35470,35470,2.22,Madison County,Iowa
"Mahaska County, Iowa",22164,28174,28174,1.27,Mahaska County,Iowa
"Marion County, Iowa",33172,30644,30644,0.92,Marion County,Iowa
"Marshall County, Iowa",39964,27196,27196,0.68,Marshall County,Iowa
"Mills County, Iowa",15034,34850,34850,2.32,Mills County,Iowa
"Mitchell County, Iowa",10608,29676,29676,2.8,Mitchell County,Iowa
"Monona County, Iowa",8730,29591,29591,3.39,Monona County,Iowa
"Monroe County, Iowa",7807,28999,28999,3.71,Monroe County,Iowa
"Montgomery County, Iowa",10053,29781,29781,2.96,Montgomery County,Iowa
"Muscatine County, Iowa",42889,29511,29511,0.69,Muscatine County,Iowa
"O'Brien County, Iowa",13835,30564,30564,2.21,O'Brien County,Iowa
"Osceola County, Iowa",6052,30955,30955,5.11,Osceola County,Iowa
"Page County, Iowa",15268,27390,27390,1.79,Page County,Iowa
"Palo Alto County, Iowa",9003,28445,28445,3.16,Palo Alto County,Iowa
"Plymouth County, Iowa",25068,33982,33982,1.36,Plymouth County,Iowa
"Pocahontas County, Iowa",6797,30013,30013,4.42,Pocahontas County,Iowa
"Polk County, Iowa",479612,35433,35433,0.07,Polk County,Iowa
"Pottawattamie County, Iowa",93393,30318,30318,0.32,Pottawattamie County,Iowa
"Poweshiek County, Iowa",18388,31827,31827,1.73,Poweshiek County,Iowa
"Ringgold County, Iowa",4964,28756,28756,5.79,Ringgold County,Iowa
"Sac County, Iowa",9802,32274,32274,3.29,Sac County,Iowa
"Scott County, Iowa",172446,33643,33643,0.2,Scott County,Iowa
"Shelby County, Iowa",11606,32703,32703,2.82,Shelby County,Iowa
"Sioux County, Iowa",34827,29360,29360,0.84,Sioux County,Iowa
"Story County, Iowa",96941,29539,29539,0.3,Story County,Iowa
"Tama County, Iowa",17032,28585,28585,1.68,Tama County,Iowa
"Taylor County, Iowa",6167,29778,29778,4.83,Taylor County,Iowa
"Union County, Iowa",12358,27750,27750,2.25,Union County,Iowa
"Van Buren County, Iowa",7150,27252,27252,3.81,Van Buren County,Iowa
"Wapello County, Iowa",35141,26424,26424,0.75,Wapello County,Iowa
"Warren County, Iowa",50076,36496,36496,0.73,Warren County,Iowa
"Washington County, Iowa",22100,30547,30547,1.38,Washington County,Iowa
"Wayne County, Iowa",6429,25628,25628,3.99,Wayne County,Iowa
"Webster County, Iowa",36545,26498,26498,0.73,Webster County,Iowa
"Winnebago County, Iowa",10534,28342,28342,2.69,Winnebago County,Iowa
"Winneshiek County, Iowa",20262,32075,32075,1.58,Winneshiek County,Iowa
"Woodbury County, Iowa",102586,28688,28688,0.28,Woodbury County,Iowa
"Worth County, Iowa",7445,31949,31949,4.29,Worth County,Iowa
"Wright County, Iowa",12739,29622,29622,2.33,Wright County,Iowa
"Allen County, Kansas",12556,23734,23734,1.89,Allen County,Kansas
"Anderson County, Kansas",7835,24309,24309,3.1,Anderson County,Kansas
"Atchison County, Kansas",16268,24237,24237,1.49,Atchison County,Kansas
"Barber County, Kansas",4624,27648,27648,5.98,Barber County,Kansas
"Barton County, Kansas",26453,27495,27495,1.04,Barton County,Kansas
"Bourbon County, Kansas",14608,23102,23102,1.58,Bourbon County,Kansas
"Brown County, Kansas",9626,25208,25208,2.62,Brown County,Kansas
"Butler County, Kansas",66698,29986,29986,0.45,Butler County,Kansas
"Chase County, Kansas",2637,23055,23055,8.74,Chase County,Kansas
"Chautauqua County, Kansas",3323,22962,22962,6.91,Chautauqua County,Kansas
"Cherokee County, Kansas",20179,22615,22615,1.12,Cherokee County,Kansas
"Cheyenne County, Kansas",2665,29041,29041,10.9,Cheyenne County,Kansas
"Clark County, Kansas",2026,28227,28227,13.93,Clark County,Kansas
"Clay County, Kansas",8082,29235,29235,3.62,Clay County,Kansas
"Cloud County, Kansas",8938,27279,27279,3.05,Cloud County,Kansas
"Coffey County, Kansas",8254,33371,33371,4.04,Coffey County,Kansas
"Comanche County, Kansas",1740,30355,30355,17.45,Comanche County,Kansas
"Cowley County, Kansas",35351,24726,24726,0.7,Cowley County,Kansas
"Crawford County, Kansas",38968,23091,23091,0.59,Crawford County,Kansas
"Decatur County, Kansas",2860,30905,30905,10.81,Decatur County,Kansas
"Dickinson County, Kansas",18828,27219,27219,1.45,Dickinson County,Kansas
"Doniphan County, Kansas",7684,25775,25775,3.35,Doniphan County,Kansas
"Douglas County, Kansas",120290,32281,32281,0.27,Douglas County,Kansas
"Edwards County, Kansas",2869,27431,27431,9.56,Edwards County,Kansas
"Elk County, Kansas",2523,23875,23875,9.46,Elk County,Kansas
"Ellis County, Kansas",28775,30956,30956,1.08,Ellis County,Kansas
"Ellsworth County, Kansas",6231,26443,26443,4.24,Ellsworth County,Kansas
"Finney County, Kansas",36750,24152,24152,0.66,Finney County,Kansas
"Ford County, Kansas",34179,23293,23293,0.68,Ford County,Kansas
"Franklin County, Kansas",25558,26998,26998,1.06,Franklin County,Kansas
"Geary County, Kansas",34025,23897,23897,0.7,Geary County,Kansas
"Gove County, Kansas",2644,28859,28859,10.91,Gove County,Kansas
"Graham County, Kansas",2519,27236,27236,10.81,Graham County,Kansas
"Grant County, Kansas",7467,25411,25411,3.4,Grant County,Kansas
"Gray County, Kansas",6039,29421,29421,4.87,Gray County,Kansas
"Greeley County, Kansas",1185,28982,28982,24.46,Greeley County,Kansas
"Greenwood County, Kansas",6081,27500,27500,4.52,Greenwood County,Kansas
"Hamilton County, Kansas",2591,22003,22003,8.49,Hamilton County,Kansas
"Harper County, Kansas",5594,24800,24800,4.43,Harper County,Kansas
"Harvey County, Kansas",34503,28226,28226,0.82,Harvey County,Kansas
"Haskell County, Kansas",4018,26814,26814,6.67,Haskell County,Kansas
"Hodgeman County, Kansas",1876,30044,30044,16.01,Hodgeman County,Kansas
"Jackson County, Kansas",13266,28127,28127,2.12,Jackson County,Kansas
"Jefferson County, Kansas",18890,30655,30655,1.62,Jefferson County,Kansas
"Jewell County, Kansas",2885,27731,27731,9.61,Jewell County,Kansas
"Johnson County, Kansas",591506,46517,46517,0.08,Johnson County,Kansas
"Kearny County, Kansas",3907,23415,23415,5.99,Kearny County,Kansas
"Kingman County, Kansas",7340,34578,34578,4.71,Kingman County,Kansas
"Kiowa County, Kansas",2505,26321,26321,10.51,Kiowa County,Kansas
"Labette County, Kansas",20119,24572,24572,1.22,Labette County,Kansas
"Lane County, Kansas",1564,28435,28435,18.18,Lane County,Kansas
"Leavenworth County, Kansas",80745,32444,32444,0.4,Leavenworth County,Kansas
"Lincoln County, Kansas",3044,25803,25803,8.48,Lincoln County,Kansas
"Linn County, Kansas",9671,27926,27926,2.89,Linn County,Kansas
"Logan County, Kansas",2805,28135,28135,10.03,Logan County,Kansas
"Lyon County, Kansas",33251,26904,26904,0.81,Lyon County,Kansas
"McPherson County, Kansas",28567,31006,31006,1.09,McPherson County,Kansas
"Marion County, Kansas",11964,26577,26577,2.22,Marion County,Kansas
"Marshall County, Kansas",9749,28469,28469,2.92,Marshall County,Kansas
"Meade County, Kansas",4180,28945,28945,6.92,Meade County,Kansas
"Miami County, Kansas",33417,35659,35659,1.07,Miami County,Kansas
"Mitchell County, Kansas",6145,25801,25801,4.2,Mitchell County,Kansas
"Montgomery County, Kansas",32521,24647,24647,0.76,Montgomery County,Kansas
"Morris County, Kansas",5566,29558,29558,5.31,Morris County,Kansas
"Morton County, Kansas",2754,23447,23447,8.51,Morton County,Kansas
"Nemaha County, Kansas",10121,30344,30344,3.0,Nemaha County,Kansas
"Neosho County, Kansas",16108,23845,23845,1.48,Neosho County,Kansas
"Ness County, Kansas",2876,34243,34243,11.91,Ness County,Kansas
"Norton County, Kansas",5446,25352,25352,4.66,Norton County,Kansas
"Osage County, Kansas",15881,27951,27951,1.76,Osage County,Kansas
"Osborne County, Kansas",3530,30843,30843,8.74,Osborne County,Kansas
"Ottawa County, Kansas",5822,29230,29230,5.02,Ottawa County,Kansas
"Pawnee County, Kansas",6629,25131,25131,3.79,Pawnee County,Kansas
"Phillips County, Kansas",5340,27431,27431,5.14,Phillips County,Kansas
"Pottawatomie County, Kansas",23847,29345,29345,1.23,Pottawatomie County,Kansas
"Pratt County, Kansas",9452,27442,27442,2.9,Pratt County,Kansas
"Rawlins County, Kansas",2502,28590,28590,11.43,Rawlins County,Kansas
"Reno County, Kansas",62765,27073,27073,0.43,Reno County,Kansas
"Republic County, Kansas",4658,27424,27424,5.89,Republic County,Kansas
"Rice County, Kansas",9658,26737,26737,2.77,Rice County,Kansas
"Riley County, Kansas",75056,27272,27272,0.36,Riley County,Kansas
"Rooks County, Kansas",5053,26420,26420,5.23,Rooks County,Kansas
"Rush County, Kansas",3022,26552,26552,8.79,Rush County,Kansas
"Russell County, Kansas",6948,26090,26090,3.76,Russell County,Kansas
"Saline County, Kansas",54701,28813,28813,0.53,Saline County,Kansas
"Scott County, Kansas",4917,29315,29315,5.96,Scott County,Kansas
"Sedgwick County, Kansas",513375,29530,29530,0.06,Sedgwick County,Kansas
"Seward County, Kansas",22349,20754,20754,0.93,Seward County,Kansas
"Shawnee County, Kansas",177852,30974,30974,0.17,Shawnee County,Kansas
"Sheridan County, Kansas",2506,35465,35465,14.15,Sheridan County,Kansas
"Sherman County, Kansas",5938,27919,27919,4.7,Sherman County,Kansas
"Smith County, Kansas",3627,28994,28994,7.99,Smith County,Kansas
"Stafford County, Kansas",4181,28060,28060,6.71,Stafford County,Kansas
"Stanton County, Kansas",2052,23033,23033,11.22,Stanton County,Kansas
"Stevens County, Kansas",5603,24652,24652,4.4,Stevens County,Kansas
"Sumner County, Kansas",23114,26954,26954,1.17,Sumner County,Kansas
"Thomas County, Kansas",7810,30442,30442,3.9,Thomas County,Kansas
"Trego County, Kansas",2840,34230,34230,12.05,Trego County,Kansas
"Wabaunsee County, Kansas",6889,27876,27876,4.05,Wabaunsee County,Kansas
"Wallace County, Kansas",1574,27966,27966,17.77,Wallace County,Kansas
"Washington County, Kansas",5493,27841,27841,5.07,Washington County,Kansas
"Wichita County, Kansas",2130,29126,29126,13.67,Wichita County,Kansas
"Wilson County, Kansas",8688,27471,27471,3.16,Wilson County,Kansas
"Woodson County, Kansas",3157,22672,22672,7.18,Woodson County,Kansas
"Wyandotte County, Kansas",164861,22335,22335,0.14,Wyandotte County,Kansas
"Adair County, Kentucky",19222,21196,21196,1.1,Adair County,Kentucky
"Allen County, Kentucky",20944,22294,22294,1.06,Allen County,Kentucky
"Anderson County, Kentucky",22409,27250,27250,1.22,Anderson County,Kentucky
"Ballard County, Kentucky",8032,25217,25217,3.14,Ballard County,Kentucky
"Barren County, Kentucky",43884,21869,21869,0.5,Barren County,Kentucky
"Bath County, Kentucky",12355,22238,22238,1.8,Bath County,Kentucky
"Bell County, Kentucky",26791,15501,15501,0.58,Bell County,Kentucky
"Boone County, Kentucky",130820,35991,35991,0.28,Boone County,Kentucky
"Bourbon County, Kentucky",20058,27802,27802,1.39,Bourbon County,Kentucky
"Boyd County, Kentucky",47682,26193,26193,0.55,Boyd County,Kentucky
"Boyle County, Kentucky",29972,26413,26413,0.88,Boyle County,Kentucky
"Bracken County, Kentucky",8305,24124,24124,2.9,Bracken County,Kentucky
"Breathitt County, Kentucky",12977,19053,19053,1.47,Breathitt County,Kentucky
"Breckinridge County, Kentucky",20176,23286,23286,1.15,Breckinridge County,Kentucky
"Bullitt County, Kentucky",80171,29333,29333,0.37,Bullitt County,Kentucky
"Butler County, Kentucky",12764,22951,22951,1.8,Butler County,Kentucky
"Caldwell County, Kentucky",12702,28799,28799,2.27,Caldwell County,Kentucky
"Calloway County, Kentucky",38837,23219,23219,0.6,Calloway County,Kentucky
"Campbell County, Kentucky",92861,34025,34025,0.37,Campbell County,Kentucky
"Carlisle County, Kentucky",4784,30065,30065,6.28,Carlisle County,Kentucky
"Carroll County, Kentucky",10671,25217,25217,2.36,Carroll County,Kentucky
"Carter County, Kentucky",27159,18778,18778,0.69,Carter County,Kentucky
"Casey County, Kentucky",15885,18457,18457,1.16,Casey County,Kentucky
"Christian County, Kentucky",71414,23021,23021,0.32,Christian County,Kentucky
"Clark County, Kentucky",35971,28802,28802,0.8,Clark County,Kentucky
"Clay County, Kentucky",20368,15391,15391,0.76,Clay County,Kentucky
"Clinton County, Kentucky",10193,21019,21019,2.06,Clinton County,Kentucky
"Crittenden County, Kentucky",9000,23959,23959,2.66,Crittenden County,Kentucky
"Cumberland County, Kentucky",6697,18728,18728,2.8,Cumberland County,Kentucky
"Daviess County, Kentucky",100474,28806,28806,0.29,Daviess County,Kentucky
"Edmonson County, Kentucky",12138,21802,21802,1.8,Edmonson County,Kentucky
"Elliott County, Kentucky",7510,13856,13856,1.85,Elliott County,Kentucky
"Estill County, Kentucky",14224,17746,17746,1.25,Estill County,Kentucky
"Fayette County, Kentucky",320601,34442,34442,0.11,Fayette County,Kentucky
"Fleming County, Kentucky",14513,23593,23593,1.63,Fleming County,Kentucky
"Floyd County, Kentucky",36456,19471,19471,0.53,Floyd County,Kentucky
"Franklin County, Kentucky",50529,30711,30711,0.61,Franklin County,Kentucky
"Fulton County, Kentucky",6130,18247,18247,2.98,Fulton County,Kentucky
"Gallatin County, Kentucky",8737,23638,23638,2.71,Gallatin County,Kentucky
"Garrard County, Kentucky",17445,26272,26272,1.51,Garrard County,Kentucky
"Grant County, Kentucky",24951,23721,23721,0.95,Grant County,Kentucky
"Graves County, Kentucky",37248,24750,24750,0.66,Graves County,Kentucky
"Grayson County, Kentucky",26247,21231,21231,0.81,Grayson County,Kentucky
"Green County, Kentucky",10979,22506,22506,2.05,Green County,Kentucky
"Greenup County, Kentucky",35555,27722,27722,0.78,Greenup County,Kentucky
"Hancock County, Kentucky",8720,24830,24830,2.85,Hancock County,Kentucky
"Hardin County, Kentucky",108527,28606,28606,0.26,Hardin County,Kentucky
"Harlan County, Kentucky",26699,16468,16468,0.62,Harlan County,Kentucky
"Harrison County, Kentucky",18722,24154,24154,1.29,Harrison County,Kentucky
"Hart County, Kentucky",18729,20742,20742,1.11,Hart County,Kentucky
"Henderson County, Kentucky",45829,26212,26212,0.57,Henderson County,Kentucky
"Henry County, Kentucky",15911,25202,25202,1.58,Henry County,Kentucky
"Hickman County, Kentucky",4510,28114,28114,6.23,Hickman County,Kentucky
"Hopkins County, Kentucky",45331,25042,25042,0.55,Hopkins County,Kentucky
"Jackson County, Kentucky",13369,18560,18560,1.39,Jackson County,Kentucky
"Jefferson County, Kentucky",767419,33251,33251,0.04,Jefferson County,Kentucky
"Jessamine County, Kentucky",53032,31146,31146,0.59,Jessamine County,Kentucky
"Johnson County, Kentucky",22634,21974,21974,0.97,Johnson County,Kentucky
"Kenton County, Kentucky",165668,33330,33330,0.2,Kenton County,Kentucky
"Knott County, Kentucky",15260,18475,18475,1.21,Knott County,Kentucky
"Knox County, Kentucky",31365,17832,17832,0.57,Knox County,Kentucky
"Larue County, Kentucky",14204,24803,24803,1.75,Larue County,Kentucky
"Laurel County, Kentucky",60357,22398,22398,0.37,Laurel County,Kentucky
"Lawrence County, Kentucky",15671,18124,18124,1.16,Lawrence County,Kentucky
"Lee County, Kentucky",6881,17386,17386,2.53,Lee County,Kentucky
"Leslie County, Kentucky",10283,15838,15838,1.54,Leslie County,Kentucky
"Letcher County, Kentucky",22295,20641,20641,0.93,Letcher County,Kentucky
"Lewis County, Kentucky",13417,19860,19860,1.48,Lewis County,Kentucky
"Lincoln County, Kentucky",24476,21480,21480,0.88,Lincoln County,Kentucky
"Livingston County, Kentucky",9235,27728,27728,3.0,Livingston County,Kentucky
"Logan County, Kentucky",26902,24221,24221,0.9,Logan County,Kentucky
"Lyon County, Kentucky",8271,26994,26994,3.26,Lyon County,Kentucky
"McCracken County, Kentucky",65268,32357,32357,0.5,McCracken County,Kentucky
"McCreary County, Kentucky",17465,14505,14505,0.83,McCreary County,Kentucky
"McLean County, Kentucky",9283,25610,25610,2.76,McLean County,Kentucky
"Madison County, Kentucky",90802,25837,25837,0.28,Madison County,Kentucky
"Magoffin County, Kentucky",12491,18243,18243,1.46,Magoffin County,Kentucky
"Marion County, Kentucky",19244,22241,22241,1.16,Marion County,Kentucky
"Marshall County, Kentucky",31192,29792,29792,0.96,Marshall County,Kentucky
"Martin County, Kentucky",11648,18017,18017,1.55,Martin County,Kentucky
"Mason County, Kentucky",17112,28411,28411,1.66,Mason County,Kentucky
"Meade County, Kentucky",28182,27861,27861,0.99,Meade County,Kentucky
"Menifee County, Kentucky",6443,20588,20588,3.2,Menifee County,Kentucky
"Mercer County, Kentucky",21592,27061,27061,1.25,Mercer County,Kentucky
"Metcalfe County, Kentucky",10036,19121,19121,1.91,Metcalfe County,Kentucky
"Monroe County, Kentucky",10627,23481,23481,2.21,Monroe County,Kentucky
"Montgomery County, Kentucky",27884,22381,22381,0.8,Montgomery County,Kentucky
"Morgan County, Kentucky",13288,18310,18310,1.38,Morgan County,Kentucky
"Muhlenberg County, Kentucky",30951,22612,22612,0.73,Muhlenberg County,Kentucky
"Nelson County, Kentucky",45650,32735,32735,0.72,Nelson County,Kentucky
"Nicholas County, Kentucky",7153,22212,22212,3.11,Nicholas County,Kentucky
"Ohio County, Kentucky",24071,24297,24297,1.01,Ohio County,Kentucky
"Oldham County, Kentucky",65967,42272,42272,0.64,Oldham County,Kentucky
"Owen County, Kentucky",10796,25640,25640,2.37,Owen County,Kentucky
"Owsley County, Kentucky",4442,18940,18940,4.26,Owsley County,Kentucky
"Pendleton County, Kentucky",14572,24120,24120,1.66,Pendleton County,Kentucky
"Perry County, Kentucky",26624,23135,23135,0.87,Perry County,Kentucky
"Pike County, Kentucky",59497,22437,22437,0.38,Pike County,Kentucky
"Powell County, Kentucky",12304,20841,20841,1.69,Powell County,Kentucky
"Pulaski County, Kentucky",64350,24646,24646,0.38,Pulaski County,Kentucky
"Robertson County, Kentucky",2123,22552,22552,10.62,Robertson County,Kentucky
"Rockcastle County, Kentucky",16820,20892,20892,1.24,Rockcastle County,Kentucky
"Rowan County, Kentucky",24507,20488,20488,0.84,Rowan County,Kentucky
"Russell County, Kentucky",17778,20674,20674,1.16,Russell County,Kentucky
"Scott County, Kentucky",54667,32796,32796,0.6,Scott County,Kentucky
"Shelby County, Kentucky",47325,32468,32468,0.69,Shelby County,Kentucky
"Simpson County, Kentucky",18183,24458,24458,1.35,Simpson County,Kentucky
"Spencer County, Kentucky",18680,33661,33661,1.8,Spencer County,Kentucky
"Taylor County, Kentucky",25571,23602,23602,0.92,Taylor County,Kentucky
"Todd County, Kentucky",12316,23143,23143,1.88,Todd County,Kentucky
"Trigg County, Kentucky",14449,28264,28264,1.96,Trigg County,Kentucky
"Trimble County, Kentucky",8558,27237,27237,3.18,Trimble County,Kentucky
"Union County, Kentucky",14638,23097,23097,1.58,Union County,Kentucky
"Warren County, Kentucky",128652,28558,28558,0.22,Warren County,Kentucky
"Washington County, Kentucky",12023,26035,26035,2.17,Washington County,Kentucky
"Wayne County, Kentucky",20546,25707,25707,1.25,Wayne County,Kentucky
"Webster County, Kentucky",13068,22911,22911,1.75,Webster County,Kentucky
"Whitley County, Kentucky",36131,20547,20547,0.57,Whitley County,Kentucky
"Wolfe County, Kentucky",7207,14923,14923,2.07,Wolfe County,Kentucky
"Woodford County, Kentucky",26318,32264,32264,1.23,Woodford County,Kentucky
"Acadia Parish, Louisiana",62457,23122,23122,0.37,Acadia Parish,Louisiana
"Allen Parish, Louisiana",25618,20964,20964,0.82,Allen Parish,Louisiana
"Ascension Parish, Louisiana",123114,34168,34168,0.28,Ascension Parish,Louisiana
"Assumption Parish, Louisiana",22478,25752,25752,1.15,Assumption Parish,Louisiana
"Avoyelles Parish, Louisiana",40669,22017,22017,0.54,Avoyelles Parish,Louisiana
"Beauregard Parish, Louisiana",37043,26331,26331,0.71,Beauregard Parish,Louisiana
"Bienville Parish, Louisiana",13564,21491,21491,1.58,Bienville Parish,Louisiana
"Bossier Parish, Louisiana",126499,28766,28766,0.23,Bossier Parish,Louisiana
"Caddo Parish, Louisiana",245831,26545,26545,0.11,Caddo Parish,Louisiana
"Calcasieu Parish, Louisiana",201619,28778,28778,0.14,Calcasieu Parish,Louisiana
"Caldwell Parish, Louisiana",9992,23216,23216,2.32,Caldwell Parish,Louisiana
"Cameron Parish, Louisiana",6930,28358,28358,4.09,Cameron Parish,Louisiana
"Catahoula Parish, Louisiana",9766,22412,22412,2.29,Catahoula Parish,Louisiana
"Claiborne Parish, Louisiana",15985,16770,16770,1.05,Claiborne Parish,Louisiana
"Concordia Parish, Louisiana",19778,19092,19092,0.97,Concordia Parish,Louisiana
"De Soto Parish, Louisiana",27289,26767,26767,0.98,De Soto Parish,Louisiana
"East Baton Rouge Parish, Louisiana",443763,32431,32431,0.07,East Baton Rouge Parish,Louisiana
"East Carroll Parish, Louisiana",7096,19483,19483,2.75,East Carroll Parish,Louisiana
"East Feliciana Parish, Louisiana",19371,23612,23612,1.22,East Feliciana Parish,Louisiana
"Evangeline Parish, Louisiana",33589,18770,18770,0.56,Evangeline Parish,Louisiana
"Franklin Parish, Louisiana",20238,19206,19206,0.95,Franklin Parish,Louisiana
"Grant Parish, Louisiana",22340,18801,18801,0.84,Grant Parish,Louisiana
"Iberia Parish, Louisiana",71887,23290,23290,0.32,Iberia Parish,Louisiana
"Iberville Parish, Louisiana",32822,23751,23751,0.72,Iberville Parish,Louisiana
"Jackson Parish, Louisiana",15879,21594,21594,1.36,Jackson Parish,Louisiana
"Jefferson Parish, Louisiana",434850,30374,30374,0.07,Jefferson Parish,Louisiana
"Jefferson Davis Parish, Louisiana",31441,25474,25474,0.81,Jefferson Davis Parish,Louisiana
"Lafayette Parish, Louisiana",241973,31892,31892,0.13,Lafayette Parish,Louisiana
"Lafourche Parish, Louisiana",98108,28683,28683,0.29,Lafourche Parish,Louisiana
"LaSalle Parish, Louisiana",14936,21654,21654,1.45,LaSalle Parish,Louisiana
"Lincoln Parish, Louisiana",47246,22863,22863,0.48,Lincoln Parish,Louisiana
"Livingston Parish, Louisiana",138928,29354,29354,0.21,Livingston Parish,Louisiana
"Madison Parish, Louisiana",11306,16671,16671,1.47,Madison Parish,Louisiana
"Morehouse Parish, Louisiana",25610,18494,18494,0.72,Morehouse Parish,Louisiana
"Natchitoches Parish, Louisiana",38769,19198,19198,0.5,Natchitoches Parish,Louisiana
"Orleans Parish, Louisiana",390845,31385,31385,0.08,Orleans Parish,Louisiana
"Ouachita Parish, Louisiana",155494,24361,24361,0.16,Ouachita Parish,Louisiana
"Plaquemines Parish, Louisiana",23338,29258,29258,1.25,Plaquemines Parish,Louisiana
"Pointe Coupee Parish, Louisiana",22016,28180,28180,1.28,Pointe Coupee Parish,Louisiana
"Rapides Parish, Louisiana",130970,25984,25984,0.2,Rapides Parish,Louisiana
"Red River Parish, Louisiana",8565,22924,22924,2.68,Red River Parish,Louisiana
"Richland Parish, Louisiana",20350,20107,20107,0.99,Richland Parish,Louisiana
"Sabine Parish, Louisiana",23991,22687,22687,0.95,Sabine Parish,Louisiana
"St. Bernard Parish, Louisiana",46266,20763,20763,0.45,St. Bernard Parish,Louisiana
"St. Charles Parish, Louisiana",52773,32935,32935,0.62,St. Charles Parish,Louisiana
"St. Helena Parish, Louisiana",10297,24380,24380,2.37,St. Helena Parish,Louisiana
"St. James Parish, Louisiana",21308,26739,26739,1.25,St. James Parish,Louisiana
"St. John the Baptist Parish, Louisiana",43242,25968,25968,0.6,St. John the Baptist Parish,Louisiana
"St. Landry Parish, Louisiana",83172,21162,21162,0.25,St. Landry Parish,Louisiana
"St. Martin Parish, Louisiana",53732,24997,24997,0.47,St. Martin Parish,Louisiana
"St. Mary Parish, Louisiana",50968,22839,22839,0.45,St. Mary Parish,Louisiana
"St. Tammany Parish, Louisiana",255155,34658,34658,0.14,St. Tammany Parish,Louisiana
"Tangipahoa Parish, Louisiana",132057,25163,25163,0.19,Tangipahoa Parish,Louisiana
"Tensas Parish, Louisiana",4561,15912,15912,3.49,Tensas Parish,Louisiana
"Terrebonne Parish, Louisiana",112054,25924,25924,0.23,Terrebonne Parish,Louisiana
"Union Parish, Louisiana",22353,24030,24030,1.08,Union Parish,Louisiana
